tt,M2V
1959-1-1,1.773
1959-4-1,1.789
1959-7-1,1.773
1959-10-1,1.779
1960-1-1,1.817
1960-4-1,1.797
1960-7-1,1.78
1960-10-1,1.737
1961-1-1,1.723
1961-4-1,1.724
1961-7-1,1.733
1961-10-1,1.742
1962-1-1,1.746
1962-4-1,1.728
1962-7-1,1.726
1962-10-1,1.701
1963-1-1,1.69
1963-4-1,1.675
1963-7-1,1.68
1963-10-1,1.672
1964-1-1,1.685
1964-4-1,1.679
1964-7-1,1.674
1964-10-1,1.653
1965-1-1,1.668
1965-4-1,1.669
1965-7-1,1.68
1965-10-1,1.693
1966-1-1,1.713
1966-4-1,1.712
1966-7-1,1.733
1966-10-1,1.744
1967-1-1,1.739
1967-4-1,1.708
1967-7-1,1.694
1967-10-1,1.69
1968-1-1,1.715
1968-4-1,1.733
1968-7-1,1.73
1968-10-1,1.722
1969-1-1,1.737
1969-4-1,1.749
1969-7-1,1.774
1969-10-1,1.773
1970-1-1,1.789
1970-4-1,1.804
1970-7-1,1.795
1970-10-1,1.752
1971-1-1,1.77
1971-4-1,1.736
1971-7-1,1.717
1971-10-1,1.69
1972-1-1,1.696
1972-4-1,1.703
1972-7-1,1.679
1972-10-1,1.673
1973-1-1,1.694
1973-4-1,1.711
1973-7-1,1.711
1973-10-1,1.739
1974-1-1,1.725
1974-4-1,1.748
1974-7-1,1.764
1974-10-1,1.781
1975-1-1,1.766
1975-4-1,1.741
1975-7-1,1.739
1975-10-1,1.75
1976-1-1,1.752
1976-4-1,1.731
1976-7-1,1.717
1976-10-1,1.699
1977-1-1,1.689
1977-4-1,1.701
1977-7-1,1.713
1977-10-1,1.715
1978-1-1,1.713
1978-4-1,1.78
1978-7-1,1.795
1978-10-1,1.822
1979-1-1,1.832
1979-4-1,1.835
1979-7-1,1.846
1979-10-1,1.857
1980-1-1,1.869
1980-4-1,1.847
1980-7-1,1.831
1980-10-1,1.874
1981-1-1,1.928
1981-4-1,1.9
1981-7-1,1.925
1981-10-1,1.888
1982-1-1,1.842
1982-4-1,1.836
1982-7-1,1.825
1982-10-1,1.804
1983-1-1,1.745
1983-4-1,1.753
1983-7-1,1.779
1983-10-1,1.797
1984-1-1,1.812
1984-4-1,1.82
1984-7-1,1.829
1984-10-1,1.818
1985-1-1,1.799
1985-4-1,1.795
1985-7-1,1.795
1985-10-1,1.792
1986-1-1,1.792
1986-4-1,1.76
1986-7-1,1.741
1986-10-1,1.721
1987-1-1,1.718
1987-4-1,1.734
1987-7-1,1.751
1987-10-1,1.776
1988-1-1,1.768
1988-4-1,1.774
1988-7-1,1.79
1988-10-1,1.813
1989-1-1,1.84
1989-4-1,1.861
1989-7-1,1.853
1989-10-1,1.834
1990-1-1,1.848
1990-4-1,1.859
1990-7-1,1.856
1990-10-1,1.839
1991-1-1,1.826
1991-4-1,1.833
1991-7-1,1.85
1991-10-1,1.861
1992-1-1,1.874
1992-4-1,1.905
1992-7-1,1.931
1992-10-1,1.951
1993-1-1,1.971
1993-4-1,1.985
1993-7-1,1.997
1993-10-1,2.023
1994-1-1,2.047
1994-4-1,2.08
1994-7-1,2.103
1994-10-1,2.139
1995-1-1,2.155
1995-4-1,2.151
1995-7-1,2.142
1995-10-1,2.147
1996-1-1,2.147
1996-4-1,2.165
1996-7-1,2.171
1996-10-1,2.179
1997-1-1,2.179
1997-4-1,2.195
1997-7-1,2.198
1997-10-1,2.19
1998-1-1,2.175
1998-4-1,2.16
1998-7-1,2.16
1998-10-1,2.145
1999-1-1,2.135
1999-4-1,2.128
1999-7-1,2.132
1999-10-1,2.15
2000-1-1,2.139
2000-4-1,2.156
2000-7-1,2.146
2000-10-1,2.139
2001-1-1,2.09
2001-4-1,2.063
2001-7-1,2.018
2001-10-1,1.984
2002-1-1,1.974
2002-4-1,1.977
2002-7-1,1.958
2002-10-1,1.932
2003-1-1,1.92
2003-4-1,1.905
2003-7-1,1.909
2003-10-1,1.944
2004-1-1,1.954
2004-4-1,1.943
2004-7-1,1.953
2004-10-1,1.961
2005-1-1,1.988
2005-4-1,1.997
2005-7-1,2.004
2005-10-1,2.006
2006-1-1,2.021
2006-4-1,2.021
2006-7-1,2.009
2006-10-1,2
2007-1-1,1.996
2007-4-1,1.987
2007-7-1,1.977
2007-10-1,1.976
2008-1-1,1.935
2008-4-1,1.923
2008-7-1,1.903
2008-10-1,1.809
2009-1-1,1.733
2009-4-1,1.708
2009-7-1,1.71
2009-10-1,1.726
2010-1-1,1.736
2010-4-1,1.742
2010-7-1,1.743
2010-10-1,1.74
2011-1-1,1.723
2011-4-1,1.714
2011-7-1,1.65
2011-10-1,1.643
2012-1-1,1.639
2012-4-1,1.629
2012-7-1,1.606
2012-10-1,1.582
2013-1-1,1.579
2013-4-1,1.567
2013-7-1,1.563
2013-10-1,1.557
2014-1-1,1.536
2014-4-1,1.541
2014-7-1,1.546
2014-10-1,1.537
2015-1-1,1.521
2015-4-1,1.524
2015-7-1,1.515
2015-10-1,1.496
2016-1-1,1.469
2016-4-1,1.462
2016-7-1,1.451
2016-10-1,1.442
2017-1-1,1.436
2017-4-1,1.433
2017-7-1,1.433
2017-10-1,1.436
2018-1-1,1.442
2018-4-1,1.454
2018-7-1,1.456
2018-10-1,1.46
2019-1-1,1.458