DATE,GFDEBTN_20181129,GFDEBTN_20190410
1/1/66,320999,320999
4/1/66,316097,316097
7/1/66,324748,324748
10/1/66,329319,329319
1/1/67,330947,330947
4/1/67,322893,322893
7/1/67,335896,335896
10/1/67,344663,344663
1/1/68,349473,349473
4/1/68,345369,345369
7/1/68,354743,354743
10/1/68,358029,358029
1/1/69,359546,359546
4/1/69,352895,352895
7/1/69,360685,360685
10/1/69,368226,368226
1/1/70,372007,372007
4/1/70,370094,370094
7/1/70,378678,378678
10/1/70,389158,389158
1/1/71,391668,391668
4/1/71,397305,397305
7/1/71,412268,412268
10/1/71,424131,424131
1/1/72,427344,427344
4/1/72,426435,426435
7/1/72,433946,433946
10/1/72,448473,448473
1/1/73,458606,458606
4/1/73,457317,457317
7/1/73,460614,460614
10/1/73,469073,469073
1/1/74,473675,473675
4/1/74,474235,474235
7/1/74,481466,481466
10/1/74,492664,492664
1/1/75,509659,509659
4/1/75,533188,533188
7/1/75,553647,553647
10/1/75,576649,576649
1/1/76,600490,600490
4/1/76,620432,620432
7/1/76,634701,634701
10/1/76,653543,653543
1/1/77,669207,669207
4/1/77,674425,674425
7/1/77,698840,698840
10/1/77,718943,718943
1/1/78,737951,737951
4/1/78,749024,749024
7/1/78,771544,771544
10/1/78,789207,789207
1/1/79,796792,796792
4/1/79,804913,804913
7/1/79,826519,826519
10/1/79,845116,845116
1/1/80,863451,863451
4/1/80,877614,877614
7/1/80,907701,907701
10/1/80,930210,930210
1/1/81,964531,964531
4/1/81,971174,971174
7/1/81,997855,997855
10/1/81,1028729,1028729
1/1/82,1061299,1061299
4/1/82,1079630,1079630
7/1/82,1142035,1142035
10/1/82,1197074,1197074
1/1/83,1244493,1244493
4/1/83,1319581,1319581
7/1/83,1377211,1377211
10/1/83,1410702,1410702
1/1/84,1463741,1463741
4/1/84,1512697,1512697
7/1/84,1572267,1572267
10/1/84,1662966,1662966
1/1/85,1710731,1710731
4/1/85,1774640,1774640
7/1/85,1823103,1823103
10/1/85,1945942,1945942
1/1/86,1986816,1986816
4/1/86,2059349,2059349
7/1/86,2125304,2125304
10/1/86,2214835,2214835
1/1/87,2246724,2246724
4/1/87,2309296,2309296
7/1/87,2350277,2350277
10/1/87,2431715,2431715
1/1/88,2487551,2487551
4/1/88,2547656,2547656
7/1/88,2602183,2602183
10/1/88,2684392,2684392
1/1/89,2740898,2740898
4/1/89,2799923,2799923
7/1/89,2857431,2857431
10/1/89,2952994,2952994
1/1/90,3051958,3051958
4/1/90,3143754,3143754
7/1/90,3233313,3233313
10/1/90,3364820,3364820
1/1/91,3465189,3465189
4/1/91,3537988,3537988
7/1/91,3665303,3665303
10/1/91,3801698,3801698
1/1/92,3881288,3881288
4/1/92,3984656,3984656
7/1/92,4064621,4064621
10/1/92,4177009,4177009
1/1/93,4230580,4230580
4/1/93,4351950,4351950
7/1/93,4411489,4411489
10/1/93,4535687,4535687
1/1/94,4575869,4575869
4/1/94,4645802,4645802
7/1/94,4692750,4692750
10/1/94,4800150,4800150
1/1/95,4864116,4864116
4/1/95,4951372,4951372
7/1/95,4973983,4973983
10/1/95,4988665,4988665
1/1/96,5117786,5117786
4/1/96,5161076,5161076
7/1/96,5224811,5224811
10/1/96,5323172,5323172
1/1/97,5380890,5380890
4/1/97,5376151,5376151
7/1/97,5413146,5413146
10/1/97,5502388,5502388
1/1/98,5542426,5542426
4/1/98,5547935,5547935
7/1/98,5526193,5526193
10/1/98,5614217,5614217
1/1/99,5651615,5651615
4/1/99,5638780,5638780
7/1/99,5656271,5656271
10/1/99,5776091,5776091
1/1/00,5773392,5773392
4/1/00,5685938,5685938
7/1/00,5674179,5674179
10/1/00,5662216,5662216
1/1/01,5773740,5773740
4/1/01,5726815,5726815
7/1/01,5807464,5807464
10/1/01,5943439,5943439
1/1/02,6006032,6006032
4/1/02,6126469,6126469
7/1/02,6228236,6228236
10/1/02,6405707,6405707
1/1/03,6460776,6460776
4/1/03,6670121,6670121
7/1/03,6783320,6783320
10/1/03,6997964,6997964
1/1/04,7131068,7131068
4/1/04,7274335,7274335
7/1/04,7379053,7379053
10/1/04,7596143,7596143
1/1/05,7776939,7776939
4/1/05,7836496,7836496
7/1/05,7932710,7932710
10/1/05,8170413,8170413
1/1/06,8371156,8371156
4/1/06,8420042,8420042
7/1/06,8506974,8506974
10/1/06,8680224,8680224
1/1/07,8849665,8849665
4/1/07,8867677,8867677
7/1/07,9007653,9007653
10/1/07,9229172,9229172
1/1/08,9437594,9437594
4/1/08,9492006,9492006
7/1/08,10024725,10024725
10/1/08,10699805,10699805
1/1/09,11126941,11126941
4/1/09,11545275,11545275
7/1/09,11909828,11909828
10/1/09,12311349,12311349
1/1/10,12773123,12773123
4/1/10,13201792,13201792
7/1/10,13561622,13561622
10/1/10,14025215,14025215
1/1/11,14270114,14270114
4/1/11,14343087,14343087
7/1/11,14790340,14790340
10/1/11,15222940,15222940
1/1/12,15606518,15606518
4/1/12,15855037,15855037
7/1/12,16066240,16066240
10/1/12,16432730,16432730
1/1/13,16771381,16771381
4/1/13,16738320,16738320
7/1/13,16738180,16738180
10/1/13,17156119,17156119
1/1/14,17601227,17601227
4/1/14,17632606,17632606
7/1/14,17824071,17824071
10/1/14,18141444,18141444
1/1/15,18152056,18152056
4/1/15,18151998,18151998
7/1/15,18150618,18150618
10/1/15,18922179,18922179
1/1/16,19264939,19264939
4/1/16,19381591,19381591
7/1/16,19573445,19573445
10/1/16,19976827,19976827
1/1/17,19846420,19846420
4/1/17,19844554,19844554
7/1/17,20244900,20244900
10/1/17,20492747,20492747
1/1/18,21089643,21089643
4/1/18,21195070,21195070
7/1/18,21516058,21516058
10/1/18,21974096,21974096